State,called,Trifecta status
Alabama,R,Republican trifecta
Alaska,R,Divided government
Arizona,D,Republican trifecta
Arkansas,R,Republican trifecta
California,D,Democratic trifecta
Colorado,D,Democratic trifecta
Connecticut,D,Democratic trifecta
Delaware,D,Democratic trifecta
District of Columbia,D,Democratic trifecta
Florida,R,Republican trifecta
Georgia,D,Republican trifecta
Hawaii,D,Democratic trifecta
Idaho,R,Republican trifecta
Illinois,D,Democratic trifecta
Indiana,R,Republican trifecta
Iowa,R,Republican trifecta
Kansas,R,Divided government
Kentucky,R,Divided government
Louisiana,R,Divided government
Maine,D,Democratic trifecta
Maine 1st District,D,Democratic trifecta
Maine 2nd District,R,Democratic trifecta
Maryland,D,Divided government
Massachusetts,D,Divided government
Michigan,D,Divided government
Minnesota,D,Divided government
Mississippi,R,Republican trifecta
Missouri,R,Republican trifecta
Montana,R,Republican trifecta
Nebraska,R,Republican trifecta
Nebraska 1st District,R,Republican trifecta
Nebraska 2nd District,D,Democratic trifecta
Nebraska 3rd District,R,Republican trifecta
Nevada,D,Democratic trifecta
New Hampshire,D,Republican trifecta
New Jersey,D,Democratic trifecta
New Mexico,D,Democratic trifecta
New York,D,Democratic trifecta
North Carolina,R,Divided government
North Dakota,R,Republican trifecta
Ohio,R,Republican trifecta
Oklahoma,R,Republican trifecta
Oregon,D,Democratic trifecta
Pennsylvania,D,Divided government
Rhode Island,D,Democratic trifecta
South Carolina,R,Republican trifecta
South Dakota,R,Republican trifecta
Tennessee,R,Republican trifecta
Texas,R,Republican trifecta
Utah,R,Republican trifecta
Vermont,D,Divided government
Virginia,D,Divided government
Washington,D,Democratic trifecta
West Virginia,R,Republican trifecta
Wisconsin,D,Divided government
Wyoming,R,Republican trifecta
