,index,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
2,78,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.1,24.7,27.5,24.7 - 27.5
3,79,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.4,34.5,36.3,34.5 - 36.3
7,289,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,2,"May 7 - May 12, 2020",2020-05-07,2020-05-12,33.1,32.0,34.2,32.0 - 34.2
11,288,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,2,"May 7 - May 12, 2020",2020-05-07,2020-05-12,26.7,24.9,28.5,24.9 - 28.5
14,498,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,24.2,23.2,25.2,23.2 - 25.2
15,499,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,32.1,31.0,33.1,31.0 - 33.1
20,709,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,33.2,32.3,34.2,32.3 - 34.2
23,708,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,25.4,24.4,26.3,24.4 - 26.3
26,918,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,26.0,25.1,26.8,25.1 - 26.8
27,919,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,35.0,34.3,35.8,34.3 - 35.8
32,1128,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,26.8,25.4,28.4,25.4 - 28.4
33,1129,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,35.1,34.1,36.1,34.1 - 36.1
38,1339,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,7,"June 11 - June 16, 2020",2020-06-11,2020-06-16,35.0,34.1,36.0,34.1 - 36.0
41,1338,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,7,"June 11 - June 16, 2020",2020-06-11,2020-06-16,28.1,27.0,29.3,27.0 - 29.3
45,1548,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,8,"June 18 - June 23, 2020",2020-06-18,2020-06-23,27.4,26.5,28.4,26.5 - 28.4
46,1549,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,8,"June 18 - June 23, 2020",2020-06-18,2020-06-23,34.8,33.9,35.8,33.9 - 35.8
50,1758,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,9,"June 25 - June 30, 2020",2020-06-25,2020-06-30,29.0,27.9,30.1,27.9 - 30.1
51,1759,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,9,"June 25 - June 30, 2020",2020-06-25,2020-06-30,36.7,35.9,37.6,35.9 - 37.6
56,1969,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,10,"July 2 - July 7, 2020",2020-07-02,2020-07-07,37.0,36.1,37.8,36.1 - 37.8
57,1968,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,10,"July 2 - July 7, 2020",2020-07-02,2020-07-07,30.7,29.6,31.9,29.6 - 31.9
62,2178,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,11,"July 9 - July 14, 2020",2020-07-09,2020-07-14,31.5,30.2,32.9,30.2 - 32.9
63,2179,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,11,"July 9 - July 14, 2020",2020-07-09,2020-07-14,39.4,38.3,40.6,38.3 - 40.6
68,2388,Symptoms of Anxiety Disorder,By Sex,United States,Male,1,12,"July 16 - July 21, 2020",2020-07-16,2020-07-21,32.1,30.8,33.5,30.8 - 33.5
69,2389,Symptoms of Anxiety Disorder,By Sex,United States,Female,1,12,"July 16 - July 21, 2020",2020-07-16,2020-07-21,39.8,38.8,40.7,38.8 - 40.7
80,2636,Symptoms of Anxiety Disorder,By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,26.4,25.5,27.3,25.5 - 27.3
