,index,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
0,8,Symptoms of Depressive Disorder,By Sex,United States,Male,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.8,19.6,22.0,19.6 - 22.0
1,9,Symptoms of Depressive Disorder,By Sex,United States,Female,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.1,25.2,27.1,25.2 - 27.1
9,219,Symptoms of Depressive Disorder,By Sex,United States,Female,1,2,"May 7 - May 12, 2020",2020-05-07,2020-05-12,25.8,24.7,27.0,24.7 - 27.0
10,218,Symptoms of Depressive Disorder,By Sex,United States,Male,1,2,"May 7 - May 12, 2020",2020-05-07,2020-05-12,22.3,20.6,24.0,20.6 - 24.0
12,428,Symptoms of Depressive Disorder,By Sex,United States,Male,1,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,22.1,21.0,23.3,21.0 - 23.3
13,429,Symptoms of Depressive Disorder,By Sex,United States,Female,1,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.7,25.8,27.6,25.8 - 27.6
21,638,Symptoms of Depressive Disorder,By Sex,United States,Male,1,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,22.7,21.5,24.0,21.5 - 24.0
22,639,Symptoms of Depressive Disorder,By Sex,United States,Female,1,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,26.9,25.8,28.0,25.8 - 28.0
24,848,Symptoms of Depressive Disorder,By Sex,United States,Male,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,23.0,22.0,23.9,22.0 - 23.9
25,849,Symptoms of Depressive Disorder,By Sex,United States,Female,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,27.4,26.6,28.2,26.6 - 28.2
30,1058,Symptoms of Depressive Disorder,By Sex,United States,Male,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,23.7,22.3,25.1,22.3 - 25.1
31,1059,Symptoms of Depressive Disorder,By Sex,United States,Female,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.8,26.8,28.8,26.8 - 28.8
39,1269,Symptoms of Depressive Disorder,By Sex,United States,Female,1,7,"June 11 - June 16, 2020",2020-06-11,2020-06-16,26.7,25.8,27.7,25.8 - 27.7
40,1268,Symptoms of Depressive Disorder,By Sex,United States,Male,1,7,"June 11 - June 16, 2020",2020-06-11,2020-06-16,23.3,22.2,24.5,22.2 - 24.5
43,1478,Symptoms of Depressive Disorder,By Sex,United States,Male,1,8,"June 18 - June 23, 2020",2020-06-18,2020-06-23,23.8,22.8,24.8,22.8 - 24.8
44,1479,Symptoms of Depressive Disorder,By Sex,United States,Female,1,8,"June 18 - June 23, 2020",2020-06-18,2020-06-23,27.3,26.4,28.3,26.4 - 28.3
48,1688,Symptoms of Depressive Disorder,By Sex,United States,Male,1,9,"June 25 - June 30, 2020",2020-06-25,2020-06-30,25.0,23.8,26.1,23.8 - 26.1
49,1689,Symptoms of Depressive Disorder,By Sex,United States,Female,1,9,"June 25 - June 30, 2020",2020-06-25,2020-06-30,28.8,27.7,29.8,27.7 - 29.8
58,1899,Symptoms of Depressive Disorder,By Sex,United States,Female,1,10,"July 2 - July 7, 2020",2020-07-02,2020-07-07,28.6,27.8,29.3,27.8 - 29.3
59,1898,Symptoms of Depressive Disorder,By Sex,United States,Male,1,10,"July 2 - July 7, 2020",2020-07-02,2020-07-07,26.6,25.5,27.6,25.5 - 27.6
60,2108,Symptoms of Depressive Disorder,By Sex,United States,Male,1,11,"July 9 - July 14, 2020",2020-07-09,2020-07-14,26.0,24.6,27.4,24.6 - 27.4
61,2109,Symptoms of Depressive Disorder,By Sex,United States,Female,1,11,"July 9 - July 14, 2020",2020-07-09,2020-07-14,30.0,29.0,31.1,29.0 - 31.1
66,2318,Symptoms of Depressive Disorder,By Sex,United States,Male,1,12,"July 16 - July 21, 2020",2020-07-16,2020-07-21,27.8,26.6,29.0,26.6 - 29.0
67,2319,Symptoms of Depressive Disorder,By Sex,United States,Female,1,12,"July 16 - July 21, 2020",2020-07-16,2020-07-21,31.3,30.2,32.4,30.2 - 32.4
82,2548,Symptoms of Depressive Disorder,By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,26.4,25.6,27.2,25.6 - 27.2
83,2547,Symptoms of Depressive Disorder,By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.5,21.6,23.3,21.6 - 23.3
87,2796,Symptoms of Depressive Disorder,By Sex,United States,Female,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,26.0,25.1,26.8,25.1 - 26.8
88,2795,Symptoms of Depressive Disorder,By Sex,United States,Male,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,22.8,21.8,23.8,21.8 - 23.8
90,3005,Symptoms of Depressive Disorder,By Sex,United States,Male,2,15,"Sep 16 - Sep 28, 2020",2020-09-16,2020-09-28,22.7,21.8,23.6,21.8 - 23.6
91,3006,Symptoms of Depressive Disorder,By Sex,United States,Female,2,15,"Sep 16 - Sep 28, 2020",2020-09-16,2020-09-28,27.2,26.3,28.1,26.3 - 28.1
99,3216,Symptoms of Depressive Disorder,By Sex,United States,Female,2,16,"Sep 30 - Oct 12, 2020",2020-09-30,2020-10-12,27.2,26.5,28.0,26.5 - 28.0
