,Group,Subgroup,Value,Time Period Start Date,Time Period Label,Date
0,National Estimate,United States,35.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
50,By State,New Mexico,34.6,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
49,By State,New Jersey,37.6,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
48,By State,New Hampshire,34.8,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
47,By State,Nevada,34.8,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
46,By State,Nebraska,28.6,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
45,By State,Montana,27.3,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
52,By State,North Carolina,34.6,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
44,By State,Missouri,35.2,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
42,By State,Minnesota,32.4,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
41,By State,Michigan,39.4,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
40,By State,Massachusetts,40.6,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
39,By State,Maryland,32.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
38,By State,Maine,34.3,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
37,By State,Louisiana,38.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
43,By State,Mississippi,34.5,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
36,By State,Kentucky,36.4,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
53,By State,North Dakota,27.7,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
55,By State,Oklahoma,34.1,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
69,By State,Wyoming,31.0,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
68,By State,Wisconsin,31.1,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
