Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Lat,Lng,called,Trifecta status,Total Mental Health Care HPSA Designations,Population of Designated HPSAs,Percent of Need Met,Practitioners Needed to Remove HPSA Designation
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.3,24.8,36.2,24.8 - 36.2,25.6 - 33.3,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,2,"May 7 - May 12, 2020",2020-05-07,2020-05-12,30.6,24.1,37.7,24.1 - 37.7,30.6 - 33.4,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.2,20.5,30.3,20.5 - 30.3,23.8-29.7,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,28.8,23.9,34.0,23.9 - 34.0,24.8-29.5,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,37.5,32.6,42.6,32.6 - 42.6,37.0-40.0,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,36.9,32.2,41.9,32.2 - 41.9,34.8-37.6,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,7,"June 11 - June 16, 2020",2020-06-11,2020-06-16,38.1,33.1,43.3,33.1 - 43.3,38.0-43.5,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,8,"June 18 - June 23, 2020",2020-06-18,2020-06-23,38.0,33.2,43.0,33.2 - 43.0,34.5-38.3,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,9,"June 25 - June 30, 2020",2020-06-25,2020-06-30,35.9,31.1,41.0,31.1 - 41.0,34.1-35.9,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,10,"July 2 - July 7, 2020",2020-07-02,2020-07-07,39.6,36.0,43.3,36.0 - 43.3,38.1-40.6,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,11,"July 9 - July 14, 2020",2020-07-09,2020-07-14,40.1,35.3,45.0,35.3 - 45.0,38.4-42.0,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,12,"July 16 - July 21, 2020",2020-07-16,2020-07-21,43.3,38.6,48.0,38.6 - 48.0,40.6-43.5,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,37.2,33.2,41.3,33.2 - 41.3,35.7-38.2,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,38.1,34.4,41.8,34.4 - 41.8,35.4-38.1,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2,15,"Sep 16 - Sep 28, 2020",2020-09-16,2020-09-28,37.2,33.4,41.2,33.4 - 41.2,36.3-38.4,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",2020-09-30,2020-10-12,33.6,29.6,37.8,29.6 - 37.8,27.8-34.3,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
