,Date,State,Completeness_pct,Value
0,2020/12/21,AK,0.0,44.1
1,2020/12/21,AL,0.0,44.0
2,2020/12/21,AR,0.0,43.0
3,2020/12/21,AZ,0.0,43.5
4,2020/12/21,CA,0.0,45.0
5,2020/12/21,CO,0.0,44.6
6,2020/12/21,CT,0.0,40.8
7,2020/12/21,DE,100.0,39.9
8,2020/12/21,FL,0.0,41.5
9,2020/12/21,GA,0.0,45.7
10,2020/12/21,HI,0.0,37.6
11,2020/12/21,IA,0.0,39.5
12,2020/12/21,ID,0.0,43.7
13,2020/12/21,IL,0.0,39.5
14,2020/12/21,IN,0.0,40.8
15,2020/12/21,KS,0.0,41.5
16,2020/12/21,KY,0.0,43.9
17,2020/12/21,LA,0.0,50.0
18,2020/12/21,MA,0.0,42.8
19,2020/12/21,MD,0.0,39.7
20,2020/12/21,ME,0.0,37.7
21,2020/12/21,MI,0.0,45.6
22,2020/12/21,MN,0.0,36.6
23,2020/12/21,MO,0.0,40.3
24,2020/12/21,MS,0.0,45.9
25,2020/12/21,MT,0.0,40.7
26,2020/12/21,NC,0.0,37.0
27,2020/12/21,ND,0.0,34.1
28,2020/12/21,NE,0.0,36.4
29,2020/12/21,NH,0.0,39.5
30,2020/12/21,NJ,0.0,41.4
31,2020/12/21,NM,0.0,47.7
32,2020/12/21,NV,100.0,46.1
33,2020/12/21,NY,0.0,40.7
34,2020/12/21,OH,0.0,46.0
35,2020/12/21,OK,0.0,48.8
36,2020/12/21,OR,0.0,45.6
37,2020/12/21,PA,0.0,39.7
38,2020/12/21,RI,0.0,35.8
39,2020/12/21,SC,0.0,40.2
40,2020/12/21,SD,0.0,31.8
41,2020/12/21,TN,0.0,41.0
42,2020/12/21,TX,0.0,43.2
43,2020/12/21,UT,0.0,40.6
44,2020/12/21,VA,100.0,40.4
45,2020/12/21,VT,0.0,41.1
46,2020/12/21,WA,0.0,42.4
47,2020/12/21,WI,0.0,40.0
48,2020/12/21,WV,0.0,48.1
49,2020/12/21,WY,0.0,39.0
50,2021/01/18,AK,98.4,41.5
51,2021/01/18,AL,0.0,42.0
52,2021/01/18,AR,0.0,41.1
53,2021/01/18,AZ,98.7,38.4
54,2021/01/18,CA,95.3,45.4
55,2021/01/18,CO,0.0,41.7
56,2021/01/18,CT,96.7,39.5
57,2021/01/18,DE,97.1,40.8
58,2021/01/18,FL,99.6,38.0
59,2021/01/18,GA,0.0,43.3
60,2021/01/18,HI,0.0,38.1
61,2021/01/18,IA,0.0,36.3
62,2021/01/18,ID,98.0,38.8
63,2021/01/18,IL,98.2,40.9
64,2021/01/18,IN,99.0,38.7
65,2021/01/18,KS,0.0,38.7
66,2021/01/18,KY,0.0,40.4
67,2021/01/18,LA,98.1,43.5
68,2021/01/18,MA,80.0,38.4
69,2021/01/18,MD,98.9,38.8
70,2021/01/18,ME,86.2,40.6
71,2021/01/18,MI,0.0,42.9
72,2021/01/18,MN,93.6,33.6
73,2021/01/18,MO,0.0,43.7
74,2021/01/18,MS,0.0,52.3
75,2021/01/18,MT,99.2,35.7
76,2021/01/18,NC,0.0,44.3
77,2021/01/18,ND,0.0,35.6
78,2021/01/18,NE,0.0,38.5
79,2021/01/18,NH,0.0,36.5
80,2021/01/18,NJ,93.7,39.4
81,2021/01/18,NM,0.0,38.9
82,2021/01/18,NV,90.6,41.7
83,2021/01/18,NY,93.9,40.2
84,2021/01/18,OH,0.0,41.4
85,2021/01/18,OK,0.0,42.8
86,2021/01/18,OR,0.0,44.3
87,2021/01/18,PA,92.2,41.3
88,2021/01/18,RI,93.0,46.8
89,2021/01/18,SC,95.0,42.0
90,2021/01/18,SD,41.2,34.0
91,2021/01/18,TN,0.0,39.6
92,2021/01/18,TX,0.0,39.0
93,2021/01/18,UT,0.0,42.8
94,2021/01/18,VA,0.0,41.4
95,2021/01/18,VT,74.1,35.2
96,2021/01/18,WA,94.6,44.1
97,2021/01/18,WI,0.0,34.8
98,2021/01/18,WV,51.1,49.7
99,2021/01/18,WY,0.0,37.9
100,2021/02/01,AK,98.4,43.1
101,2021/02/01,AL,92.9,43.4
102,2021/02/01,AR,89.5,40.0
103,2021/02/01,AZ,98.6,40.8
104,2021/02/01,CA,95.9,46.1
105,2021/02/01,CO,0.0,41.4
106,2021/02/01,CT,97.3,40.6
107,2021/02/01,DE,96.9,32.8
108,2021/02/01,FL,99.5,40.8
109,2021/02/01,GA,47.2,44.3
110,2021/02/01,HI,0.0,37.6
111,2021/02/01,IA,97.3,38.5
112,2021/02/01,ID,97.6,40.0
113,2021/02/01,IL,97.8,38.5
114,2021/02/01,IN,98.5,42.2
115,2021/02/01,KS,0.0,36.5
116,2021/02/01,KY,93.6,43.6
117,2021/02/01,LA,97.6,47.5
118,2021/02/01,MA,87.0,42.2
119,2021/02/01,MD,98.9,39.1
120,2021/02/01,ME,87.7,37.5
121,2021/02/01,MI,98.0,39.9
122,2021/02/01,MN,94.3,37.2
123,2021/02/01,MO,93.2,39.0
124,2021/02/01,MS,98.0,42.7
125,2021/02/01,MT,97.8,35.1
126,2021/02/01,NC,97.9,44.7
127,2021/02/01,ND,0.0,28.8
128,2021/02/01,NE,61.4,33.8
129,2021/02/01,NH,40.5,37.7
130,2021/02/01,NJ,93.4,42.2
131,2021/02/01,NM,0.0,43.3
132,2021/02/01,NV,93.2,41.4
133,2021/02/01,NY,93.9,35.8
134,2021/02/01,OH,98.4,43.2
135,2021/02/01,OK,95.1,47.5
136,2021/02/01,OR,0.0,42.0
137,2021/02/01,PA,93.1,39.8
138,2021/02/01,RI,91.4,41.5
139,2021/02/01,SC,93.8,37.6
140,2021/02/01,SD,0.0,29.1
141,2021/02/01,TN,98.2,43.5
142,2021/02/01,TX,0.0,43.4
143,2021/02/01,UT,98.2,40.9
144,2021/02/01,VA,49.5,36.9
145,2021/02/01,VT,76.2,36.2
146,2021/02/01,WA,94.1,46.3
147,2021/02/01,WI,95.8,36.4
148,2021/02/01,WV,52.6,41.8
149,2021/02/01,WY,99.0,40.2
150,2021/02/15,AK,98.4,41.3
151,2021/02/15,AL,92.9,40.1
152,2021/02/15,AR,91.1,43.4
153,2021/02/15,AZ,98.6,41.7
154,2021/02/15,CA,96.9,42.1
155,2021/02/15,CO,0.0,36.3
156,2021/02/15,CT,97.7,40.2
157,2021/02/15,DE,96.3,37.5
158,2021/02/15,FL,99.6,38.9
159,2021/02/15,GA,49.6,38.7
160,2021/02/15,HI,0.0,33.6
161,2021/02/15,IA,97.4,35.5
162,2021/02/15,ID,98.0,36.9
163,2021/02/15,IL,97.7,37.5
164,2021/02/15,IN,98.7,37.5
165,2021/02/15,KS,92.6,34.5
166,2021/02/15,KY,94.8,39.0
167,2021/02/15,LA,95.4,42.7
168,2021/02/15,MA,87.6,39.7
169,2021/02/15,MD,99.1,37.3
170,2021/02/15,ME,88.7,38.2
171,2021/02/15,MI,90.3,39.1
172,2021/02/15,MN,94.7,32.3
173,2021/02/15,MO,93.6,39.9
174,2021/02/15,MS,98.9,43.3
175,2021/02/15,MT,97.0,32.1
176,2021/02/15,NC,98.5,38.9
177,2021/02/15,ND,93.4,35.5
178,2021/02/15,NE,60.0,35.9
179,2021/02/15,NH,43.4,32.6
180,2021/02/15,NJ,93.4,38.8
181,2021/02/15,NM,0.0,42.9
182,2021/02/15,NV,95.8,44.0
183,2021/02/15,NY,95.5,41.8
184,2021/02/15,OH,98.8,36.4
185,2021/02/15,OK,95.9,38.7
186,2021/02/15,OR,98.3,45.1
187,2021/02/15,PA,92.8,35.4
188,2021/02/15,RI,90.3,38.1
189,2021/02/15,SC,91.4,38.8
190,2021/02/15,SD,46.9,30.9
191,2021/02/15,TN,98.4,40.6
192,2021/02/15,TX,0.0,39.9
193,2021/02/15,UT,97.8,40.2
194,2021/02/15,VA,48.3,38.7
195,2021/02/15,VT,77.7,38.7
196,2021/02/15,WA,94.4,40.9
197,2021/02/15,WI,96.9,36.7
198,2021/02/15,WV,54.1,41.8
199,2021/02/15,WY,99.1,29.2
200,2021/03/01,AK,98.6,35.6
201,2021/03/01,AL,93.8,36.5
202,2021/03/01,AR,92.1,39.7
203,2021/03/01,AZ,98.7,38.9
204,2021/03/01,CA,96.4,41.5
205,2021/03/01,CO,0.0,37.6
206,2021/03/01,CT,97.9,40.6
207,2021/03/01,DE,97.0,33.7
208,2021/03/01,FL,99.5,38.5
209,2021/03/01,GA,50.0,40.7
210,2021/03/01,HI,0.0,34.6
211,2021/03/01,IA,97.4,34.3
212,2021/03/01,ID,98.5,35.9
213,2021/03/01,IL,98.0,38.2
214,2021/03/01,IN,99.0,38.8
215,2021/03/01,KS,93.5,31.5
216,2021/03/01,KY,95.1,45.9
217,2021/03/01,LA,94.9,42.5
218,2021/03/01,MA,87.5,39.7
219,2021/03/01,MD,99.0,36.8
220,2021/03/01,ME,90.7,36.8
221,2021/03/01,MI,93.4,38.3
222,2021/03/01,MN,96.1,27.8
223,2021/03/01,MO,93.5,37.8
224,2021/03/01,MS,99.2,45.8
225,2021/03/01,MT,97.2,31.1
226,2021/03/01,NC,98.7,38.8
227,2021/03/01,ND,94.4,30.1
228,2021/03/01,NE,63.6,25.5
229,2021/03/01,NH,41.7,34.4
230,2021/03/01,NJ,92.6,38.0
231,2021/03/01,NM,30.8,42.5
232,2021/03/01,NV,96.9,46.5
233,2021/03/01,NY,95.9,38.7
234,2021/03/01,OH,99.1,38.3
235,2021/03/01,OK,94.6,42.2
236,2021/03/01,OR,98.3,41.2
237,2021/03/01,PA,93.7,38.3
238,2021/03/01,RI,90.5,38.5
239,2021/03/01,SC,91.8,36.6
240,2021/03/01,SD,47.6,31.3
241,2021/03/01,TN,98.5,43.5
242,2021/03/01,TX,0.0,40.9
243,2021/03/01,UT,97.1,36.8
244,2021/03/01,VA,48.0,37.0
245,2021/03/01,VT,76.3,37.2
246,2021/03/01,WA,95.3,40.1
247,2021/03/01,WI,97.6,30.4
248,2021/03/01,WV,54.7,39.1
249,2021/03/01,WY,99.1,38.1
250,2021/03/15,AK,98.5,35.6
251,2021/03/15,AL,93.9,38.1
252,2021/03/15,AR,92.0,47.2
253,2021/03/15,AZ,98.7,38.0
254,2021/03/15,CA,96.3,39.7
255,2021/03/15,CO,0.0,42.3
256,2021/03/15,CT,98.3,33.3
257,2021/03/15,DE,97.2,32.4
258,2021/03/15,FL,99.6,38.7
259,2021/03/15,GA,49.9,33.2
260,2021/03/15,HI,0.0,30.6
261,2021/03/15,IA,97.5,33.3
262,2021/03/15,ID,98.6,34.9
263,2021/03/15,IL,98.4,35.4
264,2021/03/15,IN,99.1,32.8
265,2021/03/15,KS,93.6,37.7
266,2021/03/15,KY,95.0,39.7
267,2021/03/15,LA,94.7,41.0
268,2021/03/15,MA,87.3,34.2
269,2021/03/15,MD,99.0,36.8
270,2021/03/15,ME,93.6,41.5
271,2021/03/15,MI,94.5,36.6
272,2021/03/15,MN,95.3,32.1
273,2021/03/15,MO,93.1,37.6
274,2021/03/15,MS,99.2,37.0
275,2021/03/15,MT,97.2,30.8
276,2021/03/15,NC,98.1,35.8
277,2021/03/15,ND,95.3,26.8
278,2021/03/15,NE,72.2,31.4
279,2021/03/15,NH,47.3,35.7
280,2021/03/15,NJ,93.4,36.0
281,2021/03/15,NM,50.0,39.8
282,2021/03/15,NV,97.0,33.7
283,2021/03/15,NY,96.5,36.6
284,2021/03/15,OH,99.3,41.2
285,2021/03/15,OK,94.5,37.5
286,2021/03/15,OR,98.3,42.5
287,2021/03/15,PA,93.5,38.9
288,2021/03/15,RI,91.6,39.1
289,2021/03/15,SC,93.4,30.5
290,2021/03/15,SD,57.4,25.9
291,2021/03/15,TN,98.5,34.5
292,2021/03/15,TX,0.0,35.7
293,2021/03/15,UT,97.9,32.6
294,2021/03/15,VA,48.0,34.3
295,2021/03/15,VT,76.0,35.5
296,2021/03/15,WA,95.7,37.3
297,2021/03/15,WI,97.7,31.7
298,2021/03/15,WV,54.8,43.5
299,2021/03/15,WY,99.1,36.1
300,2021/03/29,AK,98.4,37.8
301,2021/03/29,AL,93.5,34.5
302,2021/03/29,AR,91.9,37.5
303,2021/03/29,AZ,98.6,35.1
304,2021/03/29,CA,96.9,39.3
305,2021/03/29,CO,74.5,34.8
306,2021/03/29,CT,98.5,31.8
307,2021/03/29,DE,97.1,30.6
308,2021/03/29,FL,99.6,34.7
309,2021/03/29,GA,50.2,37.9
310,2021/03/29,HI,0.0,28.4
311,2021/03/29,IA,97.6,30.1
312,2021/03/29,ID,98.7,31.1
313,2021/03/29,IL,98.2,36.4
314,2021/03/29,IN,99.1,32.0
315,2021/03/29,KS,93.7,32.1
316,2021/03/29,KY,94.9,33.5
317,2021/03/29,LA,95.0,37.1
318,2021/03/29,MA,87.5,30.3
319,2021/03/29,MD,99.0,31.1
320,2021/03/29,ME,94.9,34.8
321,2021/03/29,MI,95.4,35.4
322,2021/03/29,MN,95.6,30.4
323,2021/03/29,MO,92.9,34.7
324,2021/03/29,MS,99.2,42.6
325,2021/03/29,MT,96.8,32.7
326,2021/03/29,NC,97.7,32.5
327,2021/03/29,ND,95.7,26.7
328,2021/03/29,NE,78.9,32.2
329,2021/03/29,NH,50.7,32.4
330,2021/03/29,NJ,91.1,35.0
331,2021/03/29,NM,63.3,38.3
332,2021/03/29,NV,97.1,41.7
333,2021/03/29,NY,97.1,36.1
